Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
pacu uglunsabaman. Mldac ka'i'nanimat : "Wrkagasa ||| And so in the mean time (the mother) had come to where her young had been eased upon. "What has hap pened to you?" she said to her children.
Clgwa kaga't umbigatani Nanabucu. "Undcltasa ninta'i'jikwackwan ningutwa'kwa'a/gan a'kwutclngwanat a'tating." ||| "Why, it was by that old Nanabushu that we were eased upon."
Mldac ka'ijipasigwa'u't laca/u pina, mldac ka'ijikwackwaninit rrman kickabi'kang. Mldac i'i-ma ka-i'ciponlt kanawabamat animibisu^iit ; mldac i'i'witi nibrkang ka'ijipangicininit. Mldac rrman ka'u'nsabimat, kaga't kabaya'r kri'nandiwan rrman nibrkang; wi'ka ayagosit. Undcimo'kisawan, mlgu iwiti kabmabinit ; o'o'widac ogri'gon : ||| "Something or other must you have said to him."
"Kagatsa kikuckungasP," ugrrgon. Mldac ka'rciklwat lasa/u pina ; mldac kayawln ka-rcimadciyatagat, mlsa ka/rci'a-gwa;tat. Mldac mlnawa kra-nimadcat. ||| "Nay," said one moving about there in the slush of the dung. "Truly, we were asked, 'What is your name?' we were told. And this was what we said to him, 'Little winged startlers are we called,' we said to him. And this he said: 'Like the deuce (you are) little winged frighteners ! ' we were told by him ; whereupon he squirted at us, after which he went his way."
Ninguting papimusat, "Anln?" kri'nandam. "Kunigii?" ||| him: "Of a truth, you are a winged startler," she was told. Thereupon back home went the ruffed grouse ; and as for himself he started swimming inshore, after which he then went out of the water. Thereupon again he started on his way.
Ningutingigu papimusat, uglwabama *isi/u ininiwac kistci- ||| While he was once walking along, " What (is it) ?" he thought. " Wonder (what it can be) ?" Now, this he thought: "I wonder if I am unable to do it!" And as he was once walking along, he saw some men gathered in a throng to dance together. And this he was asked by one of them: "You too, Nanabushu, are you going to dance?" he was asked.
•o'samininit wlnlmi'i'tiwa8. O'o'widac ogri'gon !ni/u pacig : ||| "Yes, my little brother, I too am going to dance," he said to him.
"Aye8, nisimsa nmganim kayanm," ugri'nan. ||| They were all naked; and the only dress they all had was a feather, with all but the top stripped from the shaft, standing perched upon their heads.- "And do you also wish to dance?" they said to Nanabushu. "Without doubt it must be your wish to participate? Have you heard how many days they will be dancing? Eight days will they be dancing."
gatnik. Mldac a'pl krrnint : "Ambasano ayangwamisin," kri-na au Nanabucu. "Kagu' nonda'a-nicrtangan." ||| Thereupon he himself dressed in the same costume, he had a feather standing upon his head. Now, when they began, in their midst was where he stood and also danced. Now, when the others began (dancing), thereupon then and there did he dance ; a rousing time did they have. Of a truth, a great dance they had together there. And now, there where he was dancing, four days did he dance. So there he helped them for a space of four days. And
Mldac a'pl cigwa krtrjrirnit -, ka'ijimiskwa'kwiyuwanit, anlc mlgu gaya win ka/ijru't Ia8a/u Nanabucu. Kinanimit ml'i'ma, anlc kawln anawi maci aya'kusisl. Mldac kaga't anigu'k nlminit. Aba'pic kaningutwasugunagatinik, mldac a'pl aniwabaninig, cigwa ki'kandank aya'kusit. Mlgu iu ajislgisanig uckmcigun. Kagatsa nanontantam tcibwawabininig. Kaga'pri'gu ki'tcimawi Ii8i/u a'pl'tcitibi'katinig. Mldac Ii9i/u tcl'i'ckwanlmi'i'tlng aniwabaninig. Misa7 agawa ugacki'ton anummit, anlc aya'kuzi. Cayigwa anawi pltabanini, mlsa caylgwa nanawatcimunit. Mldac anawi cigwa piwabaninig, anlc mlgu iu ajinasina mawit, a'pltci aya'kusit. ||| that was when they said to him: "We beg of you, display your zeal," they said to Nanabushu. "Don't let up before the affair is over."
Ningutingigu, ackwawabiniganit, klnlbawi magwa cacaganacku'ka, anlc ka'i'cinaguskank lni/u cacaganackan mlnangwuna lni/u ka'ijinank. Mldac kaga't nanondantam tcibwawabaninig, mldac acimawit, a'pltci aya'kusit. Nin gutingigu lisi/u a'kawabandank tcibiwabaninig, cigwa kaga't owabandan piwabaninig. Mldac ka'rnandank : " Ambagic ka-i-citina kipimipaga'kabank." Mri'dac kaga't cigwa tibickotcayaT pimra-'kwabanini. Anlc mlgu iu mo'kwicimut. Mldac inabit ; kaga't rrma mbawit, kuniginln magwa cacaganaguckulka klnlbawi. Mlsandawa acinatagama'a-yat. ||| Now, that was when they began to paint themselves ; after they were painted red, then the same to himself did Nanabushu. He kept right on dancing there at the place, for not even yet was he weary. And so truly with much fervor he danced. By the time the sixth day was up, and when the light of morning was coming on, he began to realize that he was growing tired. Thereupon the tears streamed from his eyes. In good earnest was he anxious for the morning to come. Then at last he wept aloud for that the night was yet far from spent. And now the dance would be over during the coming-on of the morning. And so hardly was he able to dance, for he was tired. By and by, nevertheless, the dawn began to break, whereupon the others then began whooping. In spite of the breaking of the dawn, he was nevertheless weeping all the while, so very tired was he.
Mldac nangwana Ini/u ka*i jinank cacaganackon anicinabank ka/rjinank. Minangwana iya'plku 48i/u kra'nitagwagik minangwana Ii8i/u klki'tcinanotink. Minangwana Ini/u kakrrcinank !ni/u cacaganackon. Na, mldac inangwana rrma wawiyac ki'i'ciwabisit. ||| Now presently, after the others had ceased with their music, there he was standing in amongst the bullrushes, for what he had met with was the bullrushes, which he had supposed (to be people dancing). It was true that he had grown restless before it was morning, and so he was weeping, he was so tired. But of a sudden, while waiting for the morrow, he then truly saw the coming of the morning. And this is what he thought: "Would that at once the full light of day might appear!" Where upon truly now straight overhead had come the line of the morning light. Now, by that time he was tired out by reason of the dance. And so he looked ; truly, there where he was standing, to his surprise, was in among the bullrushes. On recognizing (what he had been dancing with), he made his way close to the shore. Thereupon
Anic, mlsa kani'i'cimamadcat. Ningutingigu ka'i'ciwa- ||| it became a fact that he had taken the bullrushes for people. It » happened to be in the autumn, during- the season when there was always a strong wind blowing. It was true that such was the way he had seen the bullrushes. Therefore that was a time when he had a joke played on him.
ka'rjikusit. Pangi upimayari' kri'cikabaci, anlc mldac rrwiti iciwinat lni/u uglngdn'rman. Anlc misa pa'kadanit Ini/u ka'kidamawat Ini/u uglngonimini. Anlc mldac lasa'u inini anica uginln wandcipimadcra/t 48i/u unldcanisa8. Ningutingigu tagwicing 'a8a/u inini. " Mlmawlntcigawanan damang," ugri'nan !ni/u wlwan. ||| Well, accordingly then went he slowly along his way. And once after he had seen where some people were intending to spend the autumn, he then said to them : "I beg of you, my younger brothers," he said to the people. He saw them engaged in catching fish, so naturally desired to remain there too, and this he said to them: "I beg that you let me spend the autumn with you."
aMimawmi'i-u," ugri'gon. ||| "You may," he was told.
Mldac cigwa mlnawa aciwabininig mlnawa animadca ||| Thereupon he abode with them. Now they killed fish there where they were spending the autumn. In the course of time (the lake) was frozen over, so thereupon there they spent the winter. Now they had some children. As time went on, they ate up (all) their fish. Thereupon this was what (Nanabushu) said to them with whom he lived : a Now, therefore, we will eat your fishes first ; and then afterwards, when they are gone, then our fish will
nandawabamat Ini/u uginln. Ningutingigu anipimadaga'kut ||| And so truly that was what they did. Now, it was true that they ate the fish of the others. In course of time they ate up (all) the fish. And so after they had eaten up the fish of his companions, they that were on the opposite side of the (lodge) fire, then gone were all the fish of the other; thereupon he became angry at them,
madwasininig miciwa'kung. Ugiwabandan a'tanig, mldac ||| and so moved away. Not far away he made his camp, and so of course thither he took his own fish. So thereby hungry became the others whose fish he had eaten up. Now, as for the man (whose fish had been eaten up), he kept his children alive by means of sweet-brier berries. So once when home came the man, "Now, I fear that we shall starve," he said to his wife.
ka-rcinasilkank, kuniginln pikwa'k ! Mldac kanawaban- ||| "I fear so," he was told.
dank wa-i-ci'u'da'pinank. Kumiginm awiya uglmadwaga- ||| And so on the following day he started on his way again to seek for sweet-brier berries. And once as he was travelling over the ice of the lake, as he went walking along the shore-line, he suddenly heard the sound of something out on the ice. He saw that an object was there, and so went up to it, and lo, it was an arrow ! Accordingly he gazed upon it with a desire to pick it up. He was startled at the sound of somebody's voice saying to him: "You fool,"1 he was told; "is that your arrow?" he was told.
nonigon : "Tatata," : ugri'gon ; "klnina Ii8i/u kipigwa'k," ||| And this he said to him: "Nay," he said to him. "I desire only to look at it."
<O8*o'widac ugri'nan: "Kawm," ugri'nan. "Anicagu nlwlwabandan." ||| "Come, kindle a fire. It seems as if you are cold," he was told.
"Taga, podawan kundigu kigfkatc," ugl'i'gon. ||| And this he said to him: "Yes, truly, I am cold." Accordingly, indeed, he kindled a fire, and so there he warmed himself.
O-o'dac ugri-nan: "Aye8, kaga't nigrkatc." Mldac kaga't acipodawat, mldac i'i'man aci'a'wasut. ||| And then the other took off his moccasins, whereupon, "Pray, eat these moccasins of mine," he was told. Accord ingly, indeed, he took the other's moccasins, and what was he to behold when he took the other's moccasins but really the dried tails of beavers ! 3 Now, one he fully intended to leave, but, "All of it shall you eat," he was told. "Now, very great wrong am I doing them," he thought, "in that I have not saved some for my children."
Mldac rrman ajigagistcinit, midac, "Taga, midcin mi/u indacikanan," ugri-gon. Mldac kagat acro'da'pinank lni/u udaciganini, anln kawri'cinang a'pl ka-u'da'pinang Ini/u udaciganini minangwana lni/u kaskami'kwanawan ! Pacigidac udanawickwandan, "Mlgu'i'11 ka'kina icimld cin," ugri'gon. "Mamindaga idac ningri'niga'a'g," krrnandam ; "i'i'wisa kiskwandamawasiwagwa ninldcanisag." Owabaman ||| He saw how large the moccasins were, that one bear skin was of a bear surpassingly large, and from that the other had a moccasin ; and (the skin of) a young bear was what he used for a patch on his moccasins. And when the other had put on his moccasins, he went to where his bag was, his cedar-bark bag. And so when he poured out his sweet-brier berries, he filled the bag up with beaver berries.
rru iyanigu'kwanig Ini/u uma'kisinan, pacigwag ini/u malkwayanan niganigu ma'tcigisinit, miwanini11 wama'kisinit ; iniwidac maskitibanabin miwamniu pagwa'rgatanig kisi/u uma'kisining. Mldac ka'kijibabl'tclnit ka-i-cinasi'kaminit (isi/u umackimut, uglckackimut. Mldac ka'i'cislgwabinanit liei/u udugimma8, mldac ka-i'cimockina'a-nit ami'kuminan. ||| Thereupon by the other was he helped in lifting the pack upon his back. And then, after he had helped in lifting on the pack, this he was told: "When you have come nigh to the place where you (and the others) live, then select a large hollow space of ground, and there is where you should put down that pack of yours. And then you should continue on your way, and look not back behind you. Not till in the morning should you go and look. Exert yourself; make haste as you go on this path ; for the sound of somebody will you hear yelling at you, and this you will be told: 'Hey, push him!' will you be told. So look not back ; be careful. Do precisely as I have taught you."
Mldac ka'i'ci'u-mbawana'i'gut. Mldac alpl ka'O'mbawana'i-gut o'o'dac ugri'gon : "Anipacwanbandaman iima andayag unabandan ki^ciwanu'kamigag, mldac i'i'ma11 ||| And so truly off he started running. And this he was told by them who pursued him: "Hey, push him!" he was told. And now, indeed, he heard them a short distance away ; it seemed that now they would overtake him. So out upon the ice of a lake he came fleeing. And not withstanding that, already was he coming close to the other side in his flight over the ice, yet exceedingly hard was he now being pressed by them who were pursuing him. And then presently was he arriving at the other side of the frozen lake ; and when he was come at the other side of the ice, gone were they by whom he was pursued.1
Mldac kaga't ka'i'cimadciba'tot. O'o'widac ugri'go (i2i'u paminica'u'gut: utA8a/u, kungwa'u^k !" ugri'go9. Midac kaga't pacu'tawat; intigwamlpigu katabibiciwat. Anlc saga'i'ganing pimadaga'kuba 'i'wat. Midac cayigwa anawi pacwabandank 'i8i/u tcimicaga'kuba'i-wat, midac a'pitci cigwa kzTkrrgut 48i/u paminica'u-gut. Midac cigwa migaga'kuba'i'wat; kamicaga'kut, awaniban 48i/u paminica-u'gut.1 ||| i Kicawandagus, "you (will) yet have food to eat;" literally, "you will be
Mlsa pisan anrijipapimusat. Mldac cisi/u ka'rgut: "Anlc kawln gayapi iwati no'piming kanibiminija'irgusV ugrrgon. Mldac kaga't kawln keyabi ugra^nra-manisutuwasln iwiti kani'kuplt. Mldac kaga't kra-nra-ntawabandank rrman tcigistclwana'kamiganig. Mldac kaga't aciwabandank rrman ki'tciwana'kamiganig, mldac i'i-ma11 ka'ijipagitciwapa'kandank. Mlsa kaga't kawln kra'banabisi. Mlsa kaniijikiwat. O'o-widac ugri'gon !ni/u wlwan : "Anm wlna kipmasiwadwa Igi/u uginlg?" ugi'i'gon Ini/u wlwan. ||| And so in peace he then went walking on. Now, this was what he had been told : " For at yonder forest will you no longer be pursued," he was told. It was true that no longer did he feel the pursuit of anybody after he had gone up from the shore. And so truly he con tinued his way, looking for the place where there was a great depression in the ground. And when he truly saw the place that had a deep depression, it was there that he dropped his pack. It was true that he did not look back. And so on his way back home he went. Now, this he was asked by his wife : " Where are the sweetbrier berries that you went to get?" he was asked by his wife.
Mldac kaga't cigwa kra'nimadcawat, awrrnabiwat i'i'ma11 kl'pipagitciwapa'kandank 48i/u omockimut ; amm ka-i'cinamowat alpi anitababandamuwat a'pana mlgu'i'11 namawan ! Mldac motcigisiwat. "Kaga'tiguna klgawlsinimin." Mlsa cigwa alp! ka'u'ntciwanawat. Mlsa ka/rnano'klwat, klcigatnig kaya kra'wanawat Ini/u namawan. Mldac a'pl cigwa ka'a'wanawat kawin gayapi klwlsinislwag. ||| And this he said to her: "Why, in no wise should you feel so sad about it, for no doubt you will yet have food to eat," 1 he said to his wife. And then hardly could the man sleep. "This is indeed the feeling I have had, that perhaps, old woman, we shall yet be blessed," he (thus) said to his wife. And so after the day was come, he then addressed her, saying: "All right, come, let us go!"
"Taga, uwraakamawi'k i-i'man kitonda'i'baninang." Mldac kaga't ka'rca'kamawawat. Anlc potc taplndiga ||| Thereupon, in truth, they now started on their way, they went to look at the place where he had dropped his pack when coming home ; now, what were they to behold when they caught sight of it but a place full of sturgeons ! Thereupon were they happy. "Without fail shall we now have food to eat." And so from that moment they began packing from there. And now when they set to work, while it was day and all day long, they packed (and) hauled the sturgeon. And so by the time they had finished hauling it all, not yet had they eaten.
Ia8a/u Nanabucu ; cigwa ka'klcf tawat, pacik kaya rrman utackwandamiwan uglpima'kwicimawat Ini/u namawan. .. Anlc mii/u pra-wat tciblndiganit Ini/u Nanabucowan. ||| "I say, do you go wait for him at the place where we draw our water."
Midac kaga't asawati Nanabucu o8'd' utigo8 : "Nimba'kinagunanig Igi/u kwlwisansag," l ugri'gd8 Ii8i/u unidcanisa8 'a8a/u Nanabucu, o8o7 ugl'i'go is-i/>u unidcanisa8. ||| Accordingly they truly waited for him. Naturally without
Od'widac kri-'kito : "Magica kago uglmi'kani 48i/u midac wantcimino'a-yawat. Kaga't kuca aya'a'n namawa'kwan, mlguca 48i/u madciwat. Midac wandcipa'kinawiyangitwa. ||| blessed," but blessed in a particular way, which in this case is in the getting of food.
Midac ka'i'gut : "Ocrma11 nintonta'i'paninang. Wo'o'kri-cictciga lasa/u nimmdimoyayim ; kra-pi'ka kabagijik. Midac ka'ijisagisitayabinikacit, midac i'i-man nintonta'i-pa- ||| '2 Nitcizaz^kizi, "my old friend:" literally, "my one of the same age as I."
"Kaga'tsa," krr'kito casa/u Nanabucu. "Mlsa7 idac isi/u Izan rrman ka-irntciwlsiniyan." ||| Papakeewis, the mischief-maker, in the song of Hiawatha. The name comes from
Anlc acama rrman mawaticiwat. Wo'O'tac krrna: Igiwati kitani'a-yawag nintickwantaminang kapima'kwici- ||| pa^kwis, one that breaks off or snaps something off; the reduplicated form denotes
Mldac kaga't kanicisaga'a'nk, kra'ni'u'da'pinat 48i/u namawas, mldac kamciklwat, O'O'dac ogri'nan ini/u wiwan : "Taga, wabank api'ka'kan. Miguca Isan i-i'man utagamlmiwang wantcinanawa Ini/u namawan." ||| the frequency of the act; and the name connotes one given to petty theft, especially
Mldac a'pipa'kublt Nanabucu kaya ani'a'I'nabit uglwabaman, kaga't agumunit ini/u namawan. Anlc misa" acipacipawat. Acito'togabigipitot, mldac ka'i'ci'a'gwawabinigut Ini/u wiwan. Kuniginln kaga't namawan utagwacimanini. Wo'o'widac udinan Ini/u wiwan: "Mlnangwana wo'o-ma ka/u'ndatismg." ||| fail would Nanabushu come in ; so, after they were ready, then one of the sturgeons they laid across their doorway. Then accordingly waited they for Nanabushu to come in.
Anlc, mlnawa anu'i'cipa'kubit, anubaba'i'nabit, misa7 kawin ganaga ningutino icinanzl ; plnicigu a'kwanabawat, intawa a'kwanabawat ajito'togablgipitot. Anlc, minawagu anuba'kubl; mldac intawa ka'rcito'tokabigipi'tot. Ka'i'ci•a'gwawabinigut Ini/u wiwan, anic, minawagu anuba'kubl, misa kawin kanaga kago. "Anm aciwabisiwangan i'i'wisa ||| Thereupon, truly, Nanabushu at yonder place had this told him: "We lost to the boys in a wager," l (thus) by his children was Nanabushu told, this was he told by his children.
wabamasiwag 'aV11 nama?" ugrrnan Ini/u wlwan. Intawa ka'katabawat, intawamrr11 ka/rcra-nici'tank. Kaga/t inanga rrman krirndinigasuwan ; anica kra'gantcitcigasuwan. Mldac ka/rciklwawat intawa. Kumadac igu a'pl'a'i'ndawad anlc ml cigwa pa'katawad. ||| So this he said: "Probably he has found something, and for that reason they are living comfortably. Surely, indeed, it is sturgeon-roe, for that was what they ate. It was on that account that they won from us. I think I will go and see my old friend," 2 he said to his children. Thereupon, truly, he soon was off to visit the Pilferer.3 And so after he had gone in, indeed while he was entering, he saw a sturgeon lying across his way ! And this he said to them: "I want to visit my old friend," he said to them. What should he see where the others lived but a wonderful supply of sturgeon ! And this he said to them : "Where did you kill them?" he said to him.
Cigwa anawi sigwanini, mldac wmi'tam ka'i'cinantawi- ||| So this he was told: "Over here at our water-hole. This my old woman did ; she was at work all day long making a line. And after she had tied the line to my foot, I thereupon went down into the water by way of our water-hole. And when I saw (the sturgeon) down there under the water, I then speared it. And when I jerked the line, then on the line pulled the old woman. So thus she drew me out of the water. And so once again I went down into the water. There, that was how I did down there where I got them. Now, that was how I provided myself with food. Therefore have I related to you what I had done."
ginlwat. A'pidci tacigu pa'kadawat, animadcat ; uginln ||| in the way of food. The term is also a synonyme for a "sponger 5" the phrase ubaba'kiwisi'kanan means, "he desires the use of some one else's things before using his own,"
ugiwabaman, anlc miya'tagu 'i'i'u wantcipimatciat umtca- ||| "Yes, indeed," said Nanabushu. "Possibly that may be a source by which I shall obtain some food."
Ningutingigu anibabimusat saga'i'gan ogiwabandan ; anlcimada'kut, anlcitcatclgawat 'i'i'u saga'i'gan. Owabandan wapigamanig. Pama mlgu rrman saga'i'ganing nawi'kwam kago madwasininig. Aji'i'nabit, mldac kaga't ka/rcinondank madwasininig. "Wagunan?" kri'nandam. Kuniginln, aninasikank pikwa'k kl'a-'tani kitcipikwa'k, ma'kwa'tawagan asawawint ! Acrirta'pinank awiya madwaganonigon : "Tatata, klnina kibikwa'k, Nanabucu, wa-u'da'pinaman ?" ||| Naturally he was fed at the place where he was visiting. Now, this he was told: "Take with you the ones that lie across yonder doorway of ours."
"Kawln, nm, Nanabucu, nimbikwa'k," ugrrgon. "Kawln," ugri-nan casa/u Nanabucu. ||| It was so that, as he went out, he took up the sturgeons, and then he went his homeward way. Now, this he said to his wife: "I say, to-morrow do you make a line. For it was by way of yonder water-hole of theirs that they killed the sturgeons."
"Kawln," ugri-gon; "Nm 48i/u nimbikwa'k." Medac ka'i'gut: "Kawln win kri'kitusl Papa'kiwis a'pl cawanimag." ||| Accordingly that truly was what the old woman did: she worked all day long making a line, while Nanabushu himself worked at making spears. And so after they were ready, then on the morning of the morrow this he was told by the Pilferer: "By way of yonder water-hole of ours do you go into the water." Now, this had the Pilferer done, he had laid a sturgeon in under the water.
Oo-dac kri-'kito wa-a'u Nanabucu: "Antagasa 'asa/u mini klgrkatci. Kawm nm nimkfkatisi," krr'kito lasa/u Nanabucu. ||| And so when into the water Nanabushu went, and when he was looking about, he saw, sure enough, a sturgeon moving in the water. So thereupon he speared it. When he jerked the line, he was then pulled out of the water by his wife. She was amazed to see him actually drawing a sturgeon out of the water. And this he said to his wife : "This is just the place where we shall obtain
" Nanabucu, kawm kri^kitusl a'pi cawanimag laca/u Papa'kwis." ||| Well, again he went into the water, but without success; in vain he tried looking about, but not a single thing did he see ; (this continued) till he was getting short of breath, and there was no need of his getting out of breath. Then he jerked the line (to be drawn up). So once more he went into the water, but it came to nothing ; and so without success he jerked on the line (to be drawn up). After he was pulled out of the water by his wife, why, he would have gone back in again, but it was no use
"Ayes, niclmisa, kaga't ningl'katc." ||| at all. "What can be the matter with us that I do not see any sturgeon?" he said to his wife. For nought was he chilled by the water, so he gave up in failure. It truly was not a place to get (sturgeons) ; for wittingly had (the sturgeon) been put into the water for him. Thereupon back home they went without success. And so later on, while they were abiding there, they then began to be in want of food.
Wo'5'widac ugri'nan: "Kawm nin nindanimuciwisl kamitciyamban lni/u aciganan." ||| It was now getting well on towards the springtime, whereupon he took it upon himself to go looking for sweet-brier berries. So when they were exceedingly hungry, he started on his way -, some sweet-brier berries he found, for it was only by such means that he was able to keep his children alive. And then he thought : " Wonder if I can take the sweet-brier berries home !" he thought.
"Nanabucu, kawin kri''kitus! Papa'kiwis alpl cawanimag." ||| Now, once as he was walking along, he saw a lake ; then along upon the ice he went, on the ice along by the edge of the lake he travelled. He saw where (the lake) narrowed into a channel. Then farther on the lake, far out upon the ice, he heard some sort of a sound. As he looked, then was he sure that he heard something making a sound. "What (is it)?" he thought. As he went up to it, there was an arrow, a great arrow, with the ear of a bear for the feather ! As he reached for it, he heard the voice of some one addressing him: "Fool, is it your arrow, Nanabushu, that you should have the desire to take it?"
Cigwa undani-u'da'pinamini 48i/u utogimwac, acisigwapinanit 4i8i/u udogimma8. Aninimina'kuwan micawi'kwam kidacisigwa-i'gawan. Mldac ka-ijimockina-a/nit i'i'ma11 ||| "Nay, it is mine, Nanabushu, it is my arrow," he was told.
klya/u. Ambasano, ayangwamisin, icictcigan 'i8i/u ka/rninan. Q-o-man tcra-nimadcayan, awlya kikanontawag tcigagigitowat. 'A-e'e1!' klga'i'gdg awlya. Kagu pabami'tawa'kan. 'A'a/u, Nanabushu, pamataga'kut !' klga'i'gog. l 'Ala/u, kungwa'u-'k !' klga-i'gog. Kagux abanabi'kan. Mlgu 48i/u a'pana ka-i'ni'taman WCTO* saga'i'gan tcibimataga'kuyan. Pimiba'ton anigu'k. Midac ka'i'ni'kwa : c 1O, lo, co, lo, kungwa'u-'k, kungwa'u-'k, kungwa*u'(k!' klga'i'gog." ||| "Nay," to him said Nanabushu.
Midac a'pl cigwa ki'pimadca ; pitcmagigu a'pi patagwicing, cigwa kaga't awiya onondawa8. Midac acimadclpa'tod, cigwa gaga't onondawa8, " 1AU, lau, 'au, lau, kungwa-u''k Nanabucu !" utigo8. ||| "Nay," he was told, "it is my own arrow." And he was told: "The Pilferer himself did not say that when I was merciful to him."
'An, midac kaga't nandaganimusig pimipa'tod. Cayigwa nawi'kwam pimadaga'kuba'to. Kumagu udaplsi'taw^a8 48i/u paminlca-irgut. Midac aninantaganimusig ackam pacu. Ningutingigu, "Mlmawln tcitabibiciwat ka/rnwawat," kri nandam. Ugltcicagwasum 'rru waga'kwat ; aciyabamipagisut, " 'Au, kungwa'u-'k !" kri-'kitu. Anu'i'nabit, kawln awlya oglwabamasin. ||| "Oh," to him said Nanabushu, "then it is the truth, my younger brother, that the arrow is yours!" he said to him.
kaya'kri'gut mlnawa acra/bamipagisiit, awanan dac kawabamat? Amc anirrnabi, awanan dac kawabamat? ||| Presently again was Nanabushu addressed: "It seems as if you were cold. Pray, kindle a fire," he was told.
Mlnawa acimadclba'tod ; kumagu a1 pi mlnawa anitagwicink, cigwa mlnawa onontawa, mldac acimadclpa'tod anigu'k. Mldac anawi cigwa pacwabandank i'i'man wa'i'cimlcaga'kupa'tod, mldac anawi caylgwa pacwabandank, micigwa mlnawa ka'kri'gut. Medac aciku'plpa'tod, mldac awaniban lisi/u nondawa'pan. ||| And this said Nanabushu : " He is surely the man who is cold. I am not cold," said Nanabushu.
miganig ; mldac kaga't cigwa klwabandank kiltciwanalka- ||| "Nanabushu, the Pilferer did not say that when I was blessing him."
miganig. Mldac iman ka'i'cipagitciwanat. Mldac ka'a*ni- ||| "Then build you up a fire."
cimadcat ki'i'na : "Kagu7 abanabi'kan," anic krrna. ||| Truly, after that he built up a fire. Accordingly the other then took off his moccasins there. "I say, Nana bushu, eat these stockings of mine."
Mldac ka-i'ci'a-banabit. Anln ka-rcinank a'pi ayabanabit? ||| And this he said to him : "I am not a dog, that I should eat those stockings."
Kaga't minwantam rrman ka'i-cipagitciwanat. Mldac ani- ||| "Nanabushu, the Pilferer did not say that when I was taking pity upon him."
•i'ciglwat ; ka'i'citagwicink iwiti antawat, mldac ka'i'gut ini/u ||| " Yea, my younger brother, truly, will I eat those stockings of yours." And so, after the other had shaken them thor oughly, then this said Nanabushu: "Bring them hither, my younger brother, I will eat those stockings of yours." What was Nanabushu to behold but a wondrous store of dried beaver-tails ! Thereupon truly he ate. One he wished to save. "O Nanabushu! go eat it up." Where upon truly he ate it up.
wlwan: "Intacka kigibwabablnitanzimitug i'i'u anugri'go- ||| When the other went and took up (Nanabushu's) bag of sweet-brier berries, he emptied out his sweet-brier berries. Then off he went, going far out upon the ice, where he began chopping the ice (into chunks). And then, after he had filled the sack full (of ice), "Hither, Nanabushu," (Nanabushu) was told. "Carry this ice upon your back. Regard me not in an evil way. lOh, the evil that I am done!' do not think. (It is for) your (good) that you should heed what I am telling you. Be careful ; I beg of you, try to do what I tell you. Do not disobey me ;
Amc anotantam tcibwawabaninig. Tcigwasa piwabanini. " cAa/u, mindimoya, kidapi'kan uda'pinan. Kagackaginm na*a*gatc ningrijinanzl," ugrrnan Ini/u wlwan. ||| else you will surely clo yourself harm if you fail to obey me in that ; for truly will you do yourself harm. I beg of you, be careful, do that which I have told you. When from this place you start upon your way, you will hear the voice of somebody talking". 'Halloo !' you will be told by somebody. Do not heed them. 'Halloo, Nanabushu is passing across on the ice!' they will say of you. Now, then, 'Push him!' they will say of you. Don't look back. That is what you will keep hearing all the while you are crossing this lake on the ice. Run as fast as you can. This is what they will say to you : 'Hey, hey, hey, hey, push him, push him, push him!' they will say of you."
Mldac kaga't anicimadcawat. Anisagatciwat, awaniban ml'i11 kaicinank; intacka uglwabaman mockinanit lni/u nawawan rrma11 kanibagitciwanat. Mldac aciganonat Ini/u ||| And so then was when he came starting away. As soon as he was come at the place, then truly some one he heard. And as he began running, then truly he heard them, "Hey, hey, hey, hey, push Nanabushu !" was said of him.
umindimo-i-mican : "Mockinabanik ogou namawag." Mldac ka/rgut Ini/u wlwan: "Intacka kiglbwabablnitazlmitug," ugri'gon Ini/u wlwan. ||| Ah, thereupon truly, nothing loath, he ran with all his speed. Soon a long way out upon the ice did he come running. Some distance away he could hear those who were pursuing him. And then all the faster he went, the nearer they came. At times, "Now they sound as if they will overtake me," he thought. From the belt round his waist he pulled forth an axe. As round he whirled, "All right, push him !" he said. In vain he looked round about, but nobody did he see.
"Ayes," ugrrnan; "kaga't 'kagu abanabi'kan,' nintanu- ||| Thereupon, as he started running again, it seemed as if he could hear the sound ; with all his speed he ran. "Now, I will try running away from them who are making the noise," he thought. Thereupon with all his might he tried to run, and closer still he could hear them again. "I fear that they who are making the noise will now overtake me," he thought. Thereupon ever so close was he now being pressed when again round he whirled, and
Mldac kfrrcinickiat lni/u wlwan. "Mamindagasa gaga't kawln kini'tanontanzl k*ago anugri-goyanin." ||| who was there for him to see? Even though he tried looking round about, yet who was there for him to see?
Wo-o'widac igri'nan wasa/u Nanabucu: "Kaga'tsa kawln ningri'jitcigasi i'i<u anugri'goyan." Mldac iman ki'a'nwanindizut. ||| Then again he started running ; and when a certain distance on the way he was come, then again he heard them, whereupon he began running with full speed. And though he could see that near was the other shore which he hoped to reach by running on the ice, though he could see it close by, yet again was he being hard pressed. And when up from the shore he ran, no one then did he hear any more.
